,brand,model
732,samsung,galaxy s22
733,poco,c40
734,honor,70
735,oppo,reno8
736,apple,iphone 11
737,xiaomi,redmi 9a
738,oneplus,8
739,poco,c40
740,apple,iphone 7
741,oppo,a74
742,samsung,galaxy s21
743,xiaomi,mi 11i
744,apple,iphone 11
745,apple,iphone 12
746,honor,x8a
747,samsung,galaxy s21
748,oppo,find x2 neo
749,poco,f4
750,apple,iphone 11
751,samsung,galaxy s21
752,honor,x7
753,samsung,galaxy z fold4
754,apple,iphone 13
755,realme,9 pro
756,apple,iphone 13
757,apple,iphone 13
758,samsung,galaxy a13
759,apple,iphone 11
760,apple,iphone xr
761,xiaomi,9t
762,apple,iphone se
763,xiaomi,redmi 9at
764,apple,iphone 8
765,oneplus,nord
766,poco,x5 pro
767,xiaomi,redmi 12c
768,google,pixel 6
769,samsung,galaxy z fold 3
770,apple,iphone 12
771,xiaomi,11 lite
772,samsung,galaxy s23
773,xiaomi,redmi note 11s
774,samsung,galaxy a22
775,huawei,p40
776,xiaomi,redmi note 12
777,xiaomi,shark 4
778,samsung,galaxy a13
779,samsung,galaxy s20
780,samsung,galaxy z fold 3
781,samsung,galaxy s20
782,samsung,galaxy s20
783,xiaomi,redmi note 12
784,apple,iphone 12
785,samsung,galaxy a71
786,samsung,s10e
787,samsung,galaxy a51
788,xiaomi,11 pro
789,apple,iphone 14
790,apple,iphone se
791,apple,iphone xs
792,poco,m5s
793,realme,c21y
794,tcl,30
795,apple,iphone 14
796,samsung,galaxy s22
797,apple,iphone 11
798,motorola,thinkphone
799,tcl,30 se
800,cubot,kingkong 7
801,samsung,galaxy m23
802,tcl,403
803,apple,iphone 12
804,apple,iphone 13
805,samsung,galaxy s22
806,samsung,galaxy z flip 3
807,samsung,galaxy note 20
808,apple,iphone xs
809,xiaomi,shark 4
810,oneplus,7
811,samsung,galaxy a53
812,samsung,galaxy z fold4
813,apple,iphone 13
814,poco,m5s
815,samsung,galaxy a13
816,samsung,galaxy s21
817,samsung,galaxy a13
818,samsung,galaxy z flip4
819,nothing,phone (1)
820,poco,m4
821,samsung,galaxy s22
822,xiaomi,mi 11
823,xiaomi,redmi 9c
824,xiaomi,mi 9
825,xiaomi,13
